theta0_degrees,theta_reference_degrees,theta_segment_degrees,delta_reference_degrees,delta_reference_abs_degrees,delta_segment_degrees,delta_segment_abs_degrees,segment_reference_error_degrees,segment_reference_error_abs_degrees,angle_decomposition_residual,tau0,family_plain,forward_arc_iota_degrees,backward_arc_iota_degrees,s_ref_min,s_ref_max,q_ref_min,q_ref_max,q_ref_abs_max,lateral_width_reference_path,longitudinal_width_reference_path,required_strip_width,required_strip_width_one_sided
5.0,98.07181000630752,89.143898739325,-93.07181000630752,93.07181000630752,-84.143898739325,84.143898739325,-8.927911266982516,8.927911266982516,0.0,1,C,84.143898739325,0.0,-0.0010400560508298385,0.6175124779458633,-0.7625606106298114,8.244179193047473e-17,0.7625606106298114,0.7625606106298115,0.6185525339966931,1.1925606106298114,0.9775606106298114
5.5,98.07181000630752,89.05868323761855,-92.57181000630752,92.57181000630752,-83.55868323761855,83.55868323761855,-9.013126768688956,9.013126768688956,0.0,1,C,83.55868323761855,0.0,-0.0007373144208945221,0.6167513697270712,-0.7560089692722727,5.770925435133231e-16,0.7560089692722727,0.7560089692722732,0.6174886841479658,1.1860089692722733,0.9710089692722726
6.0,98.07181000630752,88.97358021687043,-92.07181000630752,92.07181000630752,-82.97358021687043,82.97358021687043,-9.098229789437083,9.098229789437083,0.0,1,C,82.97358021687043,0.0,-0.00046118401195715896,0.6159362312478683,-0.749453453558527,2.610656744465033e-16,0.749453453558527,0.7494534535585272,0.6163974152598255,1.1794534535585273,0.964453453558527
6.5,98.07181000630752,88.88859978076204,-91.57181000630752,91.57181000630752,-82.38859978076204,82.38859978076204,-9.18321022554547,9.18321022554547,0.0,1,C,82.38859978076204,0.0,-0.0002745454006022079,0.6150671716189363,-0.7428945769898899,1.117711889465588e-16,0.7428945769898899,0.74289457698989,0.6153417170195385,1.17289457698989,0.9578945769898899
7.0,98.07181000630752,88.80375200139656,-91.07181000630752,91.07181000630752,-81.80375200139656,81.80375200139656,-9.268058004910955,9.268058004910955,0.0,1,C,81.80375200139656,0.0,-0.00012138565526379333,0.6141443036555744,-0.7363328539034087,3.984686609972945e-16,0.7363328539034087,0.7363328539034092,0.6142656893108381,1.1663328539034092,0.9513328539034087
7.5,98.07181000630752,88.7190469167549,-90.5718100063075,90.5718100063075,-81.2190469167549,81.2190469167549,-9.352763089552601,9.352763089552601,0.0,1,C,81.2190469167549,0.0,-2.9571660304421274e-05,0.6131677438450246,-0.7297687994232663,2.6291447415242916e-16,0.7297687994232663,0.7297687994232666,0.613197315505329,1.1597687994232666,0.9447687994232663
8.0,98.07181000630752,88.63449452817244,-90.07181000630752,90.07181000630752,-80.63449452817244,80.63449452817244,-9.437315478135067,9.437315478135067,0.0,1,C,80.63449452817244,0.0,-1.1691823770753715e-17,0.6121376123138441,-0.7232029294117259,-8.244179193047473e-17,0.7232029294117259,0.7232029294117258,0.6121376123138441,1.1532029294117259,0.9382029294117259
8.5,98.07181000630752,88.55010479783785,-89.5718100063075,89.5718100063075,-80.05010479783785,80.05010479783785,-9.521705208469665,9.521705208469665,0.0,1,C,80.05010479783785,0.0,-5.341190768199002e-17,0.6110540327953633,-0.7166357604196285,4.140577593582995e-16,0.7166357604196285,0.716635760419629,0.6110540327953633,1.146635760419629,0.9316357604196285
9.0,98.07181000630752,88.4658876463157,-89.07181000630752,89.07181000630752,-79.4658876463157,79.4658876463157,-9.605922359991814,9.605922359991814,0.0,1,C,79.4658876463157,0.0,1.3640461065879333e-17,0.609917132597249,-0.7100678096364621,9.618209058555385e-17,0.7100678096364621,0.7100678096364622,0.609917132597249,1.1400678096364623,0.9250678096364621
9.5,98.07181000630752,88.38185295009394,-88.57181000630752,88.57181000630752,-78.88185295009394,78.88185295009394,-9.689957056213572,9.689957056213572,0.0,1,C,78.88185295009394,0.0,5.651048155864296e-17,0.6087270425691743,-0.7034995948400078,3.984686609972945e-16,0.7034995948400078,0.7034995948400082,0.6087270425691742,1.1334995948400082,0.9184995948400078
10.0,98.07181000630752,88.29801053915791,-88.07181000630752,88.07181000630752,-78.29801053915791,78.29801053915791,-9.773799467149592,9.773799467149592,0.0,1,C,78.29801053915791,0.0,-7.484691792837183e-17,0.6074838970706419,-0.6969316343455885,2.6291447415242916e-16,0.6969316343455885,0.6969316343455887,0.607483897070642,1.1269316343455886,0.9119316343455884
10.5,98.07181000630752,88.2143701945923,-87.57181000630752,87.57181000630752,-77.7143701945923,77.7143701945923,-9.85743981171521,9.85743981171521,0.0,1,C,77.7143701945923,0.0,-3.197689743560821e-17,0.6061878339389603,-0.6903644469549297,5.652010445641698e-16,0.6903644469549297,0.6903644469549303,0.6061878339389603,1.1203644469549303,0.9053644469549297
