theta0_degrees,theta_tangent_degrees,theta_error_degrees,theta_error_abs_degrees,tau0,family_plain,forward_arc_iota_degrees,backward_arc_iota_degrees,s_min,s_max,q_min,q_max,q_abs_max,lateral_width_reference,longitudinal_width_reference,required_corridor_width,candidate_disk_distance_max,candidate_disk_residual_max
0.0,90.00000000000001,-90.00000000000001,90.00000000000001,1,C,90.00000000000001,0.0,1.4419720152664705e-32,0.7321950886849805,-0.732195088684981,8.96680371709474e-17,0.732195088684981,0.7321950886849811,0.7321950886849805,1.162195088684981,0.7321950886849811,2.220446049250313e-16
0.5,89.91422048564053,-89.41422048564053,89.41422048564053,1,C,89.41422048564053,0.0,-6.220088473693159e-19,0.7321568224153455,-0.7247094166997223,4.1546580688076405e-16,0.7247094166997223,0.7247094166997228,0.7321568224153455,1.1547094166997227,0.7321950886849808,0.0
1.0,89.82845125003901,-88.82845125003901,88.82845125003901,1,C,88.82845125003901,0.0,-7.583110562956028e-19,0.7320420302918935,-0.71722465847977,2.5326849226579543e-16,0.71722465847977,0.7172246584797702,0.7320420302918935,1.1472246584797703,0.7321950886849808,0.0
1.5,89.74270256928301,-88.24270256928303,88.24270256928303,1,C,88.24270256928303,0.0,3.271831306593323e-19,0.7318507323679991,-0.7097417275372581,-7.285765135122275e-17,0.7097417275372581,0.709741727537258,0.7318507323679991,1.1397417275372579,0.7321950886849808,0.0
2.0,89.65698471412094,-87.65698471412094,87.65698471412094,1,C,87.65698471412094,0.0,-2.4716983078412015e-18,0.7315829620560026,-0.7022615368781463,4.1285678854525066e-16,0.7022615368781463,0.7022615368781467,0.7315829620560026,1.1322615368781468,0.7321950886849808,0.0
2.5,89.57130794729648,-87.07130794729648,87.07130794729648,1,C,87.07130794729648,0.0,-7.268370059929759e-19,0.7312387661122944,-0.6947849987495619,9.714179551286962e-17,0.6947849987495619,0.694784998749562,0.7312387661122944,1.124784998749562,0.7321950886849808,0.0
3.0,89.4856825208882,-86.48568252088819,86.48568252088819,1,C,86.48568252088819,0.0,6.851501411644408e-19,0.7308182046164541,-0.6873130243876562,-7.63247577857634e-17,0.6873130243876562,0.6873130243876561,0.7308182046164541,1.1173130243876561,0.7321950886849808,0.0
3.5,89.4001186736555,-85.9001186736555,85.9001186736555,1,C,85.9001186736555,0.0,-2.6153361935539753e-18,0.7303213509444624,-0.6798465237661423,2.4978648925580647e-16,0.6798465237661423,0.6798465237661425,0.7303213509444624,1.1098465237661426,0.7321950886849808,0.0
4.0,89.3146266283927,-85.31462662839269,85.31462662839269,1,C,85.31462662839269,0.0,-9.960146597369653e-19,0.7297482917360114,-0.6723864053456877,8.326076960124521e-17,0.6723864053456877,0.6723864053456878,0.7297482917360114,1.1023864053456878,0.7321950886849808,0.0
4.5,89.22921658929324,-84.72921658929324,84.72921658929324,1,C,84.72921658929324,0.0,-1.165195583817222e-16,0.7290991268559459,-0.6649335758243297,4.0786419010364954e-16,0.6649335758243297,0.6649335758243301,0.729099126855946,1.0949335758243302,0.732195088684981,1.1102230246251565e-16
