theta0_degrees,theta_reference_degrees,theta_segment_degrees,delta_reference_degrees,delta_reference_abs_degrees,delta_segment_degrees,delta_segment_abs_degrees,segment_reference_error_degrees,segment_reference_error_abs_degrees,angle_decomposition_residual,tau0,tau1,family_plain,forward_arc_iota_degrees,backward_arc_iota_degrees,s_ref_min,s_ref_max,q_ref_min,q_ref_max,q_ref_abs_max,lateral_path_width,longitudinal_path_width,required_strip_width
0.0,81.5793815929504,90.00000000000001,-81.5793815929504,81.5793815929504,-90.00000000000001,90.00000000000001,8.420618407049613,8.420618407049613,0.0,1,1,C,90.00000000000001,0.0,-1.3130899285718e-17,0.8315237352592124,-0.6249667996439552,8.870138879430657e-17,0.6249667996439552,0.6249667996439553,0.8315237352592124,1.0549667996439553
0.5,81.5793815929504,89.91422048564053,-81.0793815929504,81.0793815929504,-89.41422048564053,89.41422048564053,8.334838892690124,8.334838892690124,0.0,1,1,C,89.41422048564053,0.0,-6.084047284723064e-17,0.8294759827797369,-0.6186518513556871,4.1098742127444233e-16,0.6186518513556871,0.6186518513556876,0.829475982779737,1.0486518513556875
1.0,81.5793815929504,89.82845125003901,-80.5793815929504,80.5793815929504,-88.82845125003901,88.82845125003901,8.249069657088606,8.249069657088606,0.0,1,1,C,88.82845125003901,0.0,-3.7088555472633294e-17,0.8273730373667662,-0.6123453131281109,2.5053930482700867e-16,0.6123453131281109,0.6123453131281111,0.8273730373667662,1.042345313128111
1.5,81.5793815929504,89.74270256928301,-80.0793815929504,80.0793815929504,-88.24270256928303,88.24270256928303,8.163320976332619,8.163320976332619,0.0,1,1,C,88.24270256928303,0.0,1.0669310478428757e-17,0.8252151090760976,-0.6060476652420329,-7.207295070366002e-17,0.6060476652420329,0.6060476652420328,0.8252151090760976,1.0360476652420327
2.0,81.5793815929504,89.65698471412094,-79.5793815929504,79.5793815929504,-87.65698471412094,87.65698471412094,8.07760312117054,8.07760312117054,0.0,1,1,C,87.65698471412094,0.0,-6.045942604442962e-17,0.8230024121948015,-0.5997593875540976,4.084133873207402e-16,0.5997593875540976,0.5997593875540981,0.8230024121948016,1.029759387554098
2.5,81.5793815929504,89.57130794729648,-79.0793815929504,79.0793815929504,-87.07130794729648,87.07130794729648,7.991926354346075,7.991926354346075,0.0,1,1,C,87.07130794729648,0.0,-1.4225747304571673e-17,0.8207351651981956,-0.59348095945964,9.609726760488004e-17,0.59348095945964,0.5934809594596401,0.8207351651981956,1.0234809594596401
3.0,81.5793815929504,89.4856825208882,-78.5793815929504,78.5793815929504,-86.48568252088819,86.48568252088819,7.906300927937799,7.906300927937799,0.0,1,1,C,86.48568252088819,0.0,1.1177372882163458e-17,0.8184135907064946,-0.5872128598552904,-7.550499597526289e-17,0.5872128598552904,0.5872128598552903,0.8184135907064946,1.0172128598552903
3.5,81.5793815929504,89.4001186736555,-78.0793815929504,78.0793815929504,-85.9001186736555,85.9001186736555,7.820737080705097,7.820737080705097,0.0,1,1,C,85.9001186736555,0.0,-3.6580493068898596e-17,0.8160379154411607,-0.5809555671013423,2.471072595554058e-16,0.5809555671013423,0.5809555671013426,0.8160379154411607,1.0109555671013426
4.0,81.5793815929504,89.3146266283927,-77.5793815929504,77.5793815929504,-85.31462662839269,85.31462662839269,7.735245035442299,7.735245035442299,0.0,1,1,C,85.31462662839269,0.0,-1.2193497689632864e-17,0.8136083701809783,-0.574709558983884,8.236908651846861e-17,0.574709558983884,0.5747095589838841,0.8136083701809783,1.0047095589838841
4.5,81.5793815929504,89.22921658929324,-77.0793815929504,77.0793815929504,-84.72921658929324,84.72921658929324,7.649834996342849,7.649834996342849,0.0,1,1,C,84.72921658929324,0.0,-1.6977681233198638e-16,0.8111251897178848,-0.568475312676699,3.8872334512962683e-16,0.568475312676699,0.5684753126766995,0.811125189717885,0.9984753126766994
5.0,81.5793815929504,89.143898739325,-76.5793815929504,76.5793815929504,-84.143898739325,84.143898739325,7.5645171463745955,7.5645171463745955,0.0,1,1,C,84.143898739325,0.0,-1.2193497689632864e-17,0.8085886128125771,-0.5622533047029415,8.236908651846861e-17,0.5622533047029415,0.5622533047029417,0.8085886128125771,0.9922533047029416
5.5,81.5793815929504,89.05868323761855,-76.0793815929504,76.0793815929504,-83.55868323761855,83.55868323761855,7.4793016446681575,7.4793016446681575,0.0,1,1,C,83.55868323761855,0.0,-8.535448382743005e-17,0.8059988821499143,-0.5560440108965922,5.765836056292802e-16,0.5560440108965922,0.5560440108965927,0.8059988821499144,0.9860440108965927
6.0,81.5793815929504,88.97358021687043,-75.5793815929504,75.5793815929504,-82.97358021687043,82.97358021687043,7.394198623920031,7.394198623920031,0.0,1,1,C,82.97358021687043,0.0,-3.86127426838374e-17,0.8033562442941626,-0.549847906363699,2.608354406418173e-16,0.549847906363699,0.5498479063636992,0.8033562442941626,0.9798479063636991
6.5,81.5793815929504,88.88859978076204,-75.0793815929504,75.0793815929504,-82.38859978076204,82.38859978076204,7.309218187811642,7.309218187811642,0.0,1,1,C,82.38859978076204,0.0,-1.2405119599586316e-16,0.8006609496440787,-0.5436654654434084,7.983927068536956e-17,0.5436654654434084,0.5436654654434085,0.8006609496440789,0.9736654654434085
7.0,81.5793815929504,88.80375200139656,-74.5793815929504,74.5793815929504,-81.80375200139656,81.80375200139656,7.224370408446156,7.224370408446156,0.0,1,1,C,81.80375200139656,0.0,-5.893523883322551e-17,0.7979132523878735,-0.5374971616687988,3.9811725150593157e-16,0.5374971616687988,0.5374971616687992,0.7979132523878736,0.9674971616687993
7.5,81.5793815929504,88.7190469167549,-74.0793815929504,74.0793815929504,-81.2190469167549,81.2190469167549,7.139665323804511,7.139665323804511,0.0,1,1,C,81.2190469167549,0.0,-1.4640594176019006e-16,0.7951134104580855,-0.5313434677275138,2.308492626358953e-16,0.5313434677275138,0.5313434677275141,0.7951134104580856,0.9613434677275141
8.0,81.5793815929504,88.63449452817244,-73.5793815929504,73.5793815929504,-80.63449452817244,80.63449452817244,7.055112935222045,7.055112935222045,0.0,1,1,C,80.63449452817244,0.0,1.2193497689632864e-17,0.7922616854863701,-0.5252048554222118,-8.236908651846861e-17,0.5252048554222118,0.5252048554222117,0.7922616854863701,0.9552048554222117
8.5,81.5793815929504,88.55010479783785,-73.0793815929504,73.0793815929504,-80.05010479783785,80.05010479783785,6.970723204887448,6.970723204887448,0.0,1,1,C,80.05010479783785,0.0,-1.68760687524517e-16,0.7893583427582423,-0.5190817956308323,3.8185925458642112e-16,0.5190817956308323,0.5190817956308327,0.7893583427582426,0.9490817956308326
9.0,81.5793815929504,88.4658876463157,-72.5793815929504,72.5793815929504,-79.4658876463157,79.4658876463157,6.886506053365298,6.886506053365298,0.0,1,1,C,79.4658876463157,0.0,-1.4225747304571673e-17,0.7864036511678005,-0.5129747582666909,9.609726760488004e-17,0.5129747582666909,0.512974758266691,0.7864036511678005,0.942974758266691
9.5,81.5793815929504,88.38185295009394,-72.0793815929504,72.0793815929504,-78.88185295009394,78.88185295009394,6.80247135714354,6.80247135714354,2.220446049250313e-16,1,1,C,78.88185295009394,0.0,-5.893523883322551e-17,0.783397883172431,-0.5068842122384086,3.9811725150593157e-16,0.5068842122384086,0.5068842122384091,0.7833978831724311,0.9368842122384091
10.0,81.5793815929504,88.29801053915791,-71.5793815929504,71.5793815929504,-78.29801053915791,78.29801053915791,6.718628946207522,6.718628946207522,-1.3877787807814457e-17,1,1,C,78.29801053915791,0.0,-1.4640594176019006e-16,0.7803413147475478,-0.500811318215298,2.308492626358953e-16,0.500811318215298,0.5008113182152982,0.7803413147475479,0.9308113182152982
10.5,81.5793815929504,88.2143701945923,-71.0793815929504,71.0793815929504,-77.7143701945923,77.7143701945923,6.6349886016419015,6.6349886016419015,0.0,1,1,C,77.7143701945923,0.0,-1.9111543328884392e-16,0.7772342253413684,-0.49476102270378536,5.328692465369469e-16,0.49476102270378536,0.4947610227037859,0.7772342253413687,0.9247610227037859
11.0,81.5793815929504,88.13094164621191,-70.5793815929504,70.5793815929504,-77.13094164621191,77.13094164621191,6.551560053261515,6.551560053261515,1.3877787807814457e-17,1,1,C,77.13094164621191,0.0,-1.6672843790957817e-16,0.7740768978297505,-0.48872849703642257,3.6813107350000967e-16,0.48872849703642257,0.48872849703642296,0.7740768978297508,0.9187284970364229
11.5,81.5793815929504,88.04773457022344,-70.0793815929504,70.0793815929504,-76.54773457022344,76.54773457022344,6.468352977273035,6.468352977273035,-1.3877787807814457e-17,1,1,C,76.54773457022344,0.0,-1.2608344561080197e-16,0.7708696184711258,-0.48271420498545536,9.356745177178099e-17,0.48271420498545536,0.4827142049854555,0.7708696184711259,0.9127142049854555
12.0,81.5793815929504,87.96475858691826,-69.5793815929504,69.5793815929504,-75.96475858691825,75.96475858691825,6.385376993967861,6.385376993967861,0.0,1,1,C,75.96475858691825,0.0,-1.9111543328884392e-16,0.7676126768615237,-0.47671860917356024,5.328692465369469e-16,0.47671860917356024,0.4767186091735608,0.7676126768615239,0.9067186091735608
12.5,81.5793815929504,87.88202325839892,-69.0793815929504,69.0793815929504,-75.38202325839892,75.38202325839892,6.302641665448513,6.302641665448513,0.0,1,1,C,75.38202325839892,0.0,-1.4640594176019006e-16,0.7643063658897442,-0.47074217103287624,2.308492626358953e-16,0.47074217103287624,0.47074217103287647,0.7643063658897443,0.9007421710328765
13.0,81.5793815929504,87.79953808633925,-68.5793815929504,68.5793815929504,-74.79953808633924,74.79953808633924,6.220156493388851,6.220156493388851,0.0,1,1,C,74.79953808633924,0.0,-1.2193497689632864e-17,0.760950981692662,-0.4647853507639064,8.236908651846861e-17,0.4647853507639064,0.4647853507639065,0.760950981692662,0.8947853507639065
13.5,81.5793815929504,87.71731250978009,-68.0793815929504,68.0793815929504,-74.21731250978009,74.21731250978009,6.13793091682969,6.13793091682969,0.0,1,1,C,74.21731250978009,0.0,-1.6672843790957817e-16,0.7575468236107047,-0.45884860729430554,3.6813107350000967e-16,0.45884860729430554,0.45884860729430593,0.7575468236107049,0.8888486072943059
14.0,81.5793815929504,87.63535590296122,-67.5793815929504,67.5793815929504,-73.63535590296124,73.63535590296124,6.055974310010829,6.055974310010829,2.220446049250313e-16,1,1,C,73.63535590296124,0.0,-1.2201894638092434e-16,0.7540941941435215,-0.45293239823755777,6.611108959895812e-17,0.45293239823755777,0.4529323982375578,0.7540941941435216,0.8829323982375579
14.5,81.5793815929504,87.55367757319132,-67.0793815929504,67.0793815929504,-73.05367757319132,73.05367757319132,5.974295980240918,5.974295980240918,0.0,1,1,C,73.05367757319132,0.0,4.0644992298776214e-18,0.7505933989058524,-0.44703717985155994,-2.745636217282287e-17,0.44703717985155994,0.44703717985155994,0.7505933989058524,0.8770371798515599
15.0,81.5793815929504,87.47228675875581,-66.5793815929504,66.5793815929504,-72.47228675875583,72.47228675875583,5.892905165805421,5.892905165805421,0.0,1,1,C,72.47228675875583,0.0,-1.4640594176019006e-16,0.7470447465836223,-0.4411634069971205,2.308492626358953e-16,0.4411634069971205,0.4411634069971207,0.7470447465836224,0.8711634069971207
15.5,81.5793815929504,87.39119262686494,-66.0793815929504,66.0793815929504,-71.89119262686494,71.89119262686494,5.811811033914539,5.811811033914539,1.3877787807814457e-17,1,1,C,71.89119262686494,0.0,-1.2201894638092434e-16,0.7434485488902788,-0.43531153309638093,6.611108959895812e-17,0.43531153309638093,0.435311533096381,0.7434485488902789,0.865311533096381
16.0,81.5793815929504,87.31040427164196,-65.5793815929504,65.5793815929504,-71.31040427164196,71.31040427164196,5.731022678691561,5.731022678691561,0.0,1,1,C,71.31040427164196,0.0,-1.707929371394558e-16,0.739805120523384,-0.42948201009117837,3.9558743567283253e-16,0.42948201009117837,0.42948201009117876,0.7398051205233842,0.8594820100911787
16.5,81.5793815929504,87.22993071215309,-65.0793815929504,65.0793815929504,-70.72993071215308,70.72993071215308,5.650549119202686,5.650549119202686,0.0,1,1,C,70.72993071215308,0.0,-1.4640594176019006e-16,0.7361147791214828,-0.42367528840135243,2.308492626358953e-16,0.42367528840135243,0.42367528840135266,0.7361147791214829,0.8536752884013526
17.0,81.5793815929504,87.14978089047955,-64.5793815929504,64.5793815929504,-70.14978089047955,70.14978089047955,5.5703992975291445,5.5703992975291445,0.0,1,1,C,70.14978089047955,0.0,-3.009408819801354e-16,0.7323778452212595,-0.4178918168830153,5.166112496174364e-16,0.4178918168830153,0.4178918168830158,0.7323778452212598,0.8478918168830158
17.5,81.5793815929504,87.06996366983304,-64.07938159295041,64.07938159295041,-69.56996366983304,69.56996366983304,5.490582076882646,5.490582076882646,-2.220446049250313e-16,1,1,C,69.56996366983304,0.0,-1.6266393867970056e-16,0.7285946422149995,-0.41213204278679033,3.406747113271868e-16,0.41213204278679033,0.41213204278679066,0.7285946422149996,0.8421320427867907
18.0,81.5793815929504,86.99048783271513,-63.5793815929504,63.5793815929504,-68.99048783271513,68.99048783271513,5.411106239764732,5.411106239764732,0.0,1,1,C,68.99048783271513,0.0,-1.2193497689632864e-17,0.7247654963083687,-0.40639641171603536,8.236908651846861e-17,0.40639641171603536,0.4063964117160354,0.7247654963083687,0.8363964117160354
18.5,81.5793815929504,86.9113620791211,-63.07938159295039,63.07938159295039,-68.41136207912112,68.41136207912112,5.331980486170712,5.331980486170712,2.220446049250313e-16,1,1,C,68.41136207912112,0.0,-1.6672843790957817e-16,0.7208907364785239,-0.40068536758506035,3.6813107350000967e-16,0.40068536758506035,0.40068536758506074,0.7208907364785241,0.8306853675850607
19.0,81.5793815929504,86.83259502478973,-62.5793815929504,62.5793815929504,-67.83259502478973,67.83259502478973,5.2532134318393275,5.2532134318393275,0.0,1,1,C,67.83259502478973,0.0,-3.6580493068898596e-17,0.7169706944325731,-0.3949993525773511,2.471072595554058e-16,0.3949993525773511,0.3949993525773513,0.7169706944325731,0.8249993525773514
19.5,81.5793815929504,86.75419519949854,-62.079381592950405,62.079381592950405,-67.25419519949855,67.25419519949855,5.174813606548146,5.174813606548146,0.0,1,1,C,67.25419519949855,0.0,1.2193497689632864e-17,0.7130057045663845,-0.3893388071038133,-8.236908651846861e-17,0.3893388071038133,0.38933880710381324,0.7130057045663845,0.8193388071038132
20.0,81.5793815929504,86.67617104540636,-61.5793815929504,61.5793815929504,-66.67617104540636,66.67617104540636,5.096789452455966,5.096789452455966,-1.3877787807814457e-17,1,1,C,66.67617104540636,0.0,-1.6672843790957817e-16,0.7089961039237699,-0.3837041697610438,3.6813107350000967e-16,0.3837041697610438,0.3837041697610442,0.7089961039237701,0.8137041697610442
20.5,81.5793815929504,86.5985309154426,-61.079381592950405,61.079381592950405,-66.0985309154426,66.0985309154426,5.019149322492189,5.019149322492189,0.0,1,1,C,66.0985309154426,0.0,-8.128998459755243e-18,0.704942232156047,-0.3780958772896481,5.491272434564574e-17,0.3780958772896481,0.37809587728964816,0.704942232156047,0.8080958772896482
21.0,81.5793815929504,86.52128307174465,-60.5793815929504,60.5793815929504,-65.52128307174465,65.52128307174465,4.941901478794248,4.941901478794248,-1.3877787807814457e-17,1,1,C,65.52128307174465,0.0,1.6257996919510486e-17,0.7008444314819903,-0.3725175872452217,-1.0982544869129148e-16,0.3725175872452217,0.3725175872452216,0.7008444314819903,0.8025175872452216
21.5,81.5793815929504,86.44443568414347,-60.0793815929504,60.0793815929504,-64.94443568414347,64.94443568414347,4.865054091193067,4.865054091193067,0.0,1,1,C,64.94443568414347,0.0,-1.4234144253031245e-16,0.6967030466481753,-0.3669681085783025,2.0339290046307245e-16,0.3669681085783025,0.3669681085783027,0.6967030466481754,0.7969681085783027
22.0,81.5793815929504,86.36799682869763,-59.579381592950405,59.579381592950405,-64.36799682869763,64.36799682869763,4.78861523574723,4.78861523574723,-2.0816681711721685e-16,1,1,C,64.36799682869763,0.0,-1.6257996919510486e-17,0.6925184248897422,-0.3614461326225296,1.0982544869129148e-16,0.3614461326225296,0.3614461326225297,0.6925184248897422,0.7914461326225297
22.5,81.5793815929504,86.29197448627677,-59.0793815929504,59.0793815929504,-63.79197448627677,63.79197448627677,4.71259289332637,4.71259289332637,0.0,1,1,C,63.79197448627677,0.0,2.438699537926573e-17,0.6882909158915613,-0.3559520887811657,-1.6473817303693721e-16,0.3559520887811657,0.3559520887811655,0.6882909158915613,0.7859520887811655
23.0,81.5793815929504,86.21637654119412,-58.57938159295039,58.57938159295039,-63.21637654119414,63.21637654119414,4.636994948243729,4.636994948243729,2.220446049250313e-16,1,1,C,63.21637654119412,0.0,-1.1795444715104672e-16,0.6840208717498297,-0.3504864044454331,3.865472742613525e-17,0.3504864044454331,0.35048640444543316,0.6840208717498298,0.7804864044454332
23.5,81.5793815929504,86.141210779889,-58.0793815929504,58.0793815929504,-62.641210779888986,62.641210779888986,4.561829186938592,4.561829186938592,0.0,1,1,C,62.641210779888986,0.0,-4.026373322116716e-16,0.6797086469340947,-0.3450495049527508,4.454405283522802e-16,0.3450495049527508,0.3450495049527512,0.6797086469340952,0.7750495049527513
24.0,81.5793815929504,86.06648488965897,-57.579381592950405,57.579381592950405,-62.06648488965895,62.06648488965895,4.48710329670856,4.48710329670856,-2.220446049250313e-16,1,1,C,62.066484889658966,0.0,-1.6672843790957817e-16,0.6753545982497142,-0.3396418135450802,3.6813107350000967e-16,0.3396418135450802,0.3396418135450806,0.6753545982497144,0.7696418135450807
24.5,81.5793815929504,85.99220645744249,-57.0793815929504,57.0793815929504,-61.492206457442485,61.492206457442485,4.412824864492091,4.412824864492091,1.3877787807814457e-17,1,1,C,61.492206457442485,0.0,-1.6257996919510486e-17,0.6709590848007518,-0.33426375132739344,1.0982544869129148e-16,0.33426375132739344,0.33426375132739355,0.6709590848007518,0.7642637513273935
25.0,81.5793815929504,85.9183829686515,-56.579381592950405,56.579381592950405,-60.91838296865151,60.91838296865151,4.339001375701105,4.339001375701105,0.0,1,1,C,60.91838296865151,0.0,-2.684248881411144e-16,0.6665224679533215,-0.3289157372262741,2.9696035223485343e-16,0.3289157372262741,0.3289157372262744,0.6665224679533217,0.7589157372262744
25.5,81.5793815929504,85.84502180605463,-56.0793815929504,56.0793815929504,-60.34502180605463,60.34502180605463,4.265640213104238,4.265640213104238,0.0,1,1,C,60.34502180605463,0.0,-8.128998459755243e-18,0.6620451112993836,-0.3235981879486663,5.491272434564574e-17,0.3235981879486663,0.32359818794866635,0.6620451112993836,0.7535981879486664
26.0,81.5793815929504,85.77213024871084,-55.5793815929504,55.5793815929504,-59.77213024871084,59.77213024871084,4.192748655760435,4.192748655760435,1.3877787807814457e-17,1,1,C,59.77213024871084,0.0,-1.2608344561080197e-16,0.6575273806209825,-0.3183115179407801,9.356745177178099e-17,0.3183115179407801,0.3183115179407802,0.6575273806209826,0.7483115179407802
